tweet,class,label,clean_text
!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,2,neither,rt as a woman you shouldnt complain about cleaning up your house amp as a man you should always take the trash out
!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,1,offensive_language,rt boy dats coldtyga dwn bad for cuffin dat hoe in the st place
!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,1,offensive_language,rt dawg rt you ever fuck a bitch and she start to cry you be confused as shit
!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,1,offensive_language,rt she look like a tranny
!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,1,offensive_language,rt the shit you hear about me might be true or it might be faker than the bitch who told it to ya
"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",1,offensive_language,the shit just blows meclaim you so faithful and down for somebody but still fucking with hoes
"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",1,offensive_language,i can not just sit up and hate on another bitch i got too much shit going on
!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,1,offensive_language,cause im tired of you big bitches coming for us skinny girls
""" &amp; you might not get ya bitch back &amp; thats that """,1,offensive_language,amp you might not get ya bitch back amp thats that
""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",1,offensive_language,hobbies include fighting mariam bitch
""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",1,offensive_language,keeks is a bitch she curves everyone lol i walked into a conversation like this smh
""" Murda Gang bitch its Gang Land """,1,offensive_language,murda gang bitch its gang land
""" So hoes that smoke are losers ? "" yea ... go on IG",1,offensive_language,so hoes that smoke are losers yea go on ig
""" bad bitches is the only thing that i like """,1,offensive_language,bad bitches is the only thing that i like
""" bitch get up off me """,1,offensive_language,bitch get up off me
""" bitch nigga miss me with it """,1,offensive_language,bitch nigga miss me with it
""" bitch plz whatever """,1,offensive_language,bitch plz whatever
""" bitch who do you love """,1,offensive_language,bitch who do you love
""" bitches get cut off everyday B """,1,offensive_language,bitches get cut off everyday b
""" black bottle &amp; a bad bitch """,1,offensive_language,black bottle amp a bad bitch
""" broke bitch cant tell me nothing """,1,offensive_language,broke bitch cant tell me nothing
""" cancel that bitch like Nino """,1,offensive_language,cancel that bitch like nino
""" cant you see these hoes wont change """,1,offensive_language,cant you see these hoes wont change
""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",1,offensive_language,fuck no that bitch dont even suck dick the kermit videos bout to fuck ig up
""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",1,offensive_language,got ya bitch tip toeing on my hardwood floors
""" her pussy lips like Heaven doors "" &#128524;",1,offensive_language,her pussy lips like heaven doors
""" hoe what its hitting for """,1,offensive_language,hoe what its hitting for
""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",1,offensive_language,i met that pussy on ocean dr i gave that pussy a pill
""" i need a trippy bitch who fuck on Hennessy """,1,offensive_language,i need a trippy bitch who fuck on hennessy
""" i spend my money how i want bitch its my business """,1,offensive_language,i spend my money how i want bitch its my business
""" i txt my old bitch my new bitch pussy wetter """,1,offensive_language,i txt my old bitch my new bitch pussy wetter
""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",1,offensive_language,id say im back to the old me but my old bitches would get excited
""" if you aint bout that Murder Game pussy nigga shut up """,1,offensive_language,if you aint bout that murder game pussy nigga shut up
""" if you're toes ain't done you pussy stinks """,1,offensive_language,if youre toes aint done you pussy stinks
""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,1,offensive_language,im done with bitter bitches its a wrap for that if you a angry bird theres a app for that
""" is that ya bitch """,1,offensive_language,is that ya bitch
""" it aint nothing to cut a bitch off """,1,offensive_language,it aint nothing to cut a bitch off
""" jus meet son now he ya mane ass bitches "" #Shots",1,offensive_language,jus meet son now he ya mane ass bitches shots
""" lames crying over hoes thats tears of a clown """,1,offensive_language,lames crying over hoes thats tears of a clown
""" like Snoop said in 94 we dont love these hoes """,1,offensive_language,like snoop said in we dont love these hoes
""" momma said no pussy cats inside my doghouse """,2,neither,momma said no pussy cats inside my doghouse
""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",1,offensive_language,most hated but the hoes favorite mw sevenone
""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",1,offensive_language,nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick
""" pimps up pimps up hoes down "" Future voice",1,offensive_language,pimps up pimps up hoes down future voice
""" post a picture of that pussy get 200 likes """,1,offensive_language,post a picture of that pussy get likes
""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",1,offensive_language,pussy is a powerful drug happyhumpday
""" quick piece of pussy call it a drive by """,1,offensive_language,quick piece of pussy call it a drive by
""" running round here like some brand new pussy thats bout to get fucked """,1,offensive_language,running round here like some brand new pussy thats bout to get fucked
""" these bitches even worst they'll send them guys for you """,1,offensive_language,these bitches even worst theyll send them guys for you
""" these hoes like niggas that spend money not talk bout it """,1,offensive_language,these hoes like niggas that spend money not talk bout it
""" we dont trust these niggas all these bitches """,1,offensive_language,we dont trust these niggas all these bitches
""" yall niggas b cuffing hoes cause yall aint never have bitches """,1,offensive_language,yall niggas b cuffing hoes cause yall aint never have bitches
""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",1,offensive_language,you dodge a bullet all da bitches i cut off pregnant or bound to be thank god
""" young Pill Chamberlain these bitches love my music """,1,offensive_language,young pill chamberlain these bitches love my music
"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",1,offensive_language,teanna trump probably cleaner than most of these twitter hoes but
"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",1,offensive_language,gay niggas couldnt wait to act like bitches tonight
"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",1,offensive_language,and ima steal his cat n replace it with a pitbull rt he a bitch you should do it
"""&amp; he's gone always be a hoe""",1,offensive_language,amp hes gone always be a hoe
"""...Son of a bitch took my Tic Tacs.""

I like this movie.",1,offensive_language,son of a bitch took my tic tacs i like this movie
"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",1,offensive_language,all i wanna do is get money and fuck model bitches russell simmons
"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet",1,offensive_language,i probably wouldnt mind school as much if we didnt have to deal with bitch ass teachers retweet
"""@A7XDemery: I'm a fucking fag they said""",1,offensive_language,im a fucking fag they said
"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",1,offensive_language,females think dating a pussy is cute now how does doing this stuff make him a pussy
"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",2,neither,simplyaddictedtoguys woof woof hot scally lad
"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",1,offensive_language,have ya ever asked your bitch for other bitches kanye voice yes
"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!",1,offensive_language,how u gone bring ur side bitch to a game where you know ya gf friends at i swear
"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles",2,neither,woof woof and hot soles
"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",2,neither,lemmie eat a oreo amp do these dishes one oreo lol
"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",1,offensive_language,bitch fuck u maybe youll get better just
"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",1,offensive_language,fuck red malone man bitch ass niggah could you please use complete sentences
"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao",2,neither,why the eggplant emoji doey he say she looked like scream lmao
"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch",1,offensive_language,hennessey venom gt thats one sexy bitch
"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!",1,offensive_language,him seh me pussy wetter then a shower curtainahmesehwetnessltlmao
"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",1,offensive_language,eaglesnation and every eagles need to see that pic i just posted because that bitch just said the most racist shit
"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn",1,offensive_language,yo fuck skateboarding all yall some wood pushing faggots man ball is life
"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",2,neither,baby monkey bathtime awwwwe this is soooo adorable
"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol",1,offensive_language,i aint shit damn skippy lol
"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance",1,offensive_language,u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyno bs must b gtchance
"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol",1,offensive_language,rings mvps bitches lol
"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",1,offensive_language,ppl talk bad about the ghettohood but as a kid growing up a nigga had funnnnnnn
"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",1,offensive_language,the facts on tattoostattoo hes a pussy with not tattooing them nipples
